id,name,password,level,rankScore,totalMatches,wins,winRate,teamId,teamName,heroIds
1,MengLei,123,28,2500,15,9,60.0,1,AG,1;2;3
2,YiNuo,123,26,2450,13,8,61.5,1,AG,9;10;1
3,ChangSheng,123,24,2200,11,6,54.5,1,AG,4;5;6
4,Cat,123,27,2350,14,8,57.1,1,AG,8;7;13
5,Fly,123,28,2600,17,10,58.8,2,Wolves,14;11;12
6,YaoDao,123,26,2400,13,6,46.2,2,Wolves,9;10;3
7,XiaoPang,123,25,2300,12,6,50.0,2,Wolves,1;2;15
8,XiangYu,123,24,2150,11,5,45.5,2,Wolves,4;5;14
9,HuaHai,123,27,2500,14,7,50.0,3,eStar,1;3;15
10,QingRong,123,26,2380,12,5,41.7,3,eStar,5;6;8
11,TanRan,123,25,2250,11,5,45.5,3,eStar,11;12;13
12,ZiYang,123,24,2100,10,4,40.0,3,eStar,7;9;2
